Bouquets, Product Name ,Design,Lenght/ cm,Bouquet Lenght / inches,Box type,units / Box,Stems / Bouquet,Price by,DSD Fedex,DSD Fedex HIGH SEASON
Heliconia Parakeet,Hel. Golden Opal,,70,27.8,HB,200,5,Price by stem,$1.29,$1.47
Heliconia Parakeet,Hel. Golden Opal,,70,27.8,QB-P7,100,5,Price by stem,$1.41,$1.59
Heliconia Parakeet,Hel. Golden Opal,,70,27.8,1/8C,50,5,Price by stem,$1.68,$1.87
Heliconia Parakeet,Hel. Latispatha,,70,27.8,HB,100,5,Price by stem,$1.87,$2.13
Heliconia Parakeet,Hel. Latispatha,,70,27.8,QB,50,5,Price by stem,$2.00,$2.23
Musas,Musa Royal,,90,35.7,HB-P13,12,1,Price by stem,$10.25,$11.52
Musas,Musa Royal,,90,35.7,QB-P7,6,1,Price by stem,$11.58,$12.78
Musas,Musa Royal,,70,27.8,1/8C,4,1,Price by stem,$12.65,$13.75
Musas,Musa Reina,,90,35.7,HB-P15,12,1,Price by stem,$11.34,$12.78
Musas,Musa Reina,,90,35.7,QB-P7,6,1,Price by stem,$11.58,$12.78
Musas,Musa Reina,,70,27.8,1/8C,4,1,Price by stem,$12.65,$13.75
Musas,Musa Mouve,,90,35.7,HB-P13,12,1,Price by stem,$10.25,$11.52
Musas,Musa Mouve,,90,35.7,QB-P7,6,1,Price by stem,$11.58,$12.78
Musas,Musa Mouve,,70,27.8,1/8C,4,1,Price by stem,$12.65,$13.75
Musas,Musa Linda,,90,35.7,HB-P13,12,1,Price by stem,$10.25,$11.52
Musas,Musa Linda,,90,35.7,QB-P7,6,1,Price by stem,$11.58,$12.78
Musas,Musa Linda,,70,27.8,1/8C,4,1,Price by stem,$12.65,$13.75
Musas,Musa Orange,,90,35.7,HB-P13,12,1,Price by stem,$10.25,$11.52
Musas,Musa Orange,,90,35.7,QB-P7,6,1,Price by stem,$11.58,$12.78
Musas,Musa Orange,,70,27.8,1/8C,4,1,Price by stem,$12.65,$13.75
Musas,Musa Pacari,,90,35.7,HB-P13,12,1,Price by stem,$10.14,$11.40
Musas,Musa Pacari,,90,35.7,QB-P7,6,1,Price by stem,$11.47,$12.66
Musas,Musa Pacari,,70,27.8,1/8C,4,1,Price by stem,$12.54,$13.63
Musas,Musa White,,90,35.7,HB,8,1,Price by stem,$13.42,$15.03
Musas,Musa without antena,"Assorted among (Mouve, Orange, Reina, Pacari, Royal)",70,27.8,BB-P10,20,1,Price by stem,$6.06,$6.80
Musas,Musa without antena,"Assorted among (Mouve, Orange, Reina, Pacari, Royal)",70,27.8,1/8C-P6,10,1,Price by stem,$7.15,$7.91
Musas,Musa Coccinea,,90,35.7,HB,16,1,Price by stem,$6.59,$7.37
Musas,Musa Coccinea,,90,35.7,QB,8,1,Price by stem,$7.39,$8.09
Musas,Musa Coccinea,,70,27.8,1/8C,8,1,Price by stem,$6.21,$6.75
Musas,Musa Coccinea,,60,23.8,BB,20,1,Price by stem,$3.90,$4.32
Musas,Gran Musa Green XXL,,150,59.6,XL-160-50a,1,1,Price by stem,$277.82,$304.78
Musas,Gran Musa Green XL,,120,47.6,XL-130-50a,1,1,Price by stem,$248.45,$270.91
Musas,Gran Musa Green Large,,90,35.7,HB-30al,1,1,Price by stem,$175.71,$198.67
Musas,Baby Banana Green Large,,90,35.7,HB,1,1,Price by stem,$116.69,$131.00
Musas,Baby Banana Green Medium,,70,27.8,HB,2,1,Price by stem,$65.80,$74.07
Musas,Baby Banana Green Small,,60,23.8,HB,4,1,Price by stem,$40.50,$45.78
Musas,Baby Banana Red Large,,90,35.7,HB,1,1,Price by stem,$116.69,$131.00
Musas,Banana Prayer hand Large,,150,59.6,XL-160-50a,1,1,Price by stem,$307.51,$338.92
Musas,Banana Prayer hand Medium,,90,35.7,HB-30al,1,1,Price by stem,$205.40,$232.81
Novelty,Black Tulip,,50,19.9,HB,120,1,Price by stem,$1.35,$1.52
Novelty,Black Tulip,,50,19.9,QB,60,1,Price by stem,$1.45,$1.62
Novelty,Black Tulip,,50,19.9,1/8,30,1,Price by stem,$1.69,$1.83
Novelty,Eucalyptus fresh doll cluster,,50,19.9,HB,24,1,Price by stem,$4.31,$4.82
Novelty,Eucalyptus fresh doll cluster,,50,19.9,BB,12,1,Price by stem,$5.38,$5.92
Novelty,Eucalyptus fresh doll cluster,,50,19.9,1/8C,6,1,Price by stem,$7.50,$8.10
Novelty,Eucalyptus fresh doll stem,,50,19.9,HB,60,3,Price by stem,$1.90,$2.13
Novelty,Eucalyptus fresh doll stem,,50,19.9,BB,30,3,Price by stem,$2.34,$2.58
Novelty,Eucalyptus fresh doll stem,,50,19.9,1/8C,12,3,Price by stem,$3.88,$4.19
Novelty,Eucalyptus fresh pot cluster,,50,19.9,HB,24,1,Price by stem,$4.79,$5.37
