Branch - GS,Stem Type,VARIETY - GS,PRICE/UNIT - GS,PRICE/UNIT $,Last Updated (Run Date),,,49,,,,,,,,,,,
Miami,Chrysanthemum,Chrysanthemum Disbud Linette,$1.50,,2026-02-02 11:17:15,,,Hypericum White,,,,,,,,,,$0.85,$0.85
Miami,Chrysanthemum,Chrysanthemum Disbud Linette Peach,$1.50,,2025-11-25 13:58:02,,,Larkspur White,$1.45,,,,,,$1.15,,,$1.45,$1.45
Miami,Chrysanthemum,Chrysanthemum Disbud White,$1.50,,2025-12-26 11:07:37,,,Leather Green,$0.65,,,,,,,,,,$0.65
Miami,Clematis,Pod Clematis White,$2.25,$1.85,2026-02-11 11:49:46,,,Lemon/Salal Green,,,,,#NUM!,,,,,,#NUM!
Miami,Delphinium,Delphinium Belladonna Dark Blue,$1.85,,2025-11-25 13:55:16,,,Lemon/Salal Tips Green,,,,,,,$0.78,,,$0.85,$0.82
Miami,Delphinium,Delphinium Belladonna Light Blue,$1.85,,2025-11-11 13:51:49,,,Leyland Cypress Green,,,,,,,$1.15,,,,$1.15
Miami,Delphinium,Delphinium Belladonna White,$1.85,,2025-11-10 14:02:58,,,Leyland Cypress Variegated,,,,,,$0.55,,,,,$0.55
Miami,Delphinium,Delphinium Sea Waltz Dark Blue 70cm,$1.85,,2025-11-12 21:20:47,,,Ligustrum Berry Black,,,,,,,$2.85,,,,$2.85
Miami,Delphinium,Delphinium Sea Waltz White,$1.85,,2025-11-17 13:23:51,,,Lily Asiatic Orange,,,,,,,$2.25,,,,$2.25
Miami,Delphinium,Delphinium Sky Waltz Light Blue 70cm,$1.85,,2026-01-05 14:05:08,,,Lily Grass Green,,,,,,,$0.63,,,,$0.63
Miami,Dried,Preserved Bleached Fern White,$2.25,,2025-11-10 14:04:10,,,Lily Oriental Light Pink,,,,,,,$3.25,,,,$3.25
Miami,Eryngium,Eryngium Magical Blue Lagoon Blue,$1.75,$1.55,2026-02-17 13:16:23,,,Lily Oriental Stargazer Pink/White,$3.55,,,,,,,,,,$3.55
Miami,Eucalyptus,Eucalyptus Baby Blue Blue,$1.02,,2026-01-05 14:05:08,,,Lily Oriental White,,,,,,,$2.85,,,,$2.85
Miami,Eucalyptus,Eucalyptus Parvifolia Green,$1.02,,2025-12-26 11:36:17,,,Limonium Misty White,,,,,,,$1.05,,,,$1.05
Miami,Eucalyptus,Eucalyptus Silver Dollar Green,$0.92,,2026-02-10 13:23:17,,,Limonium Misty White White,,,,,,,$1.05,,,#NUM!,$1.05
Miami,Eucalyptus,Eucalyptus Silver Dollar Green,$0.92,,2026-02-10 13:23:49,,,Limonium White,,,,,,,$1.05,,,,$1.05
Miami,Garland,Garland Gypsophila Xlence Natural White,$14.45,,2026-01-06 12:29:47,,,Lisianthus Brown,,,,,,,$4.85,,,,$4.85
Miami,Garland,Garland Gypsophila Xlence White,$7.22,,2026-01-06 12:29:47,,,Lisianthus Cream,,,,,,,#NUM!,,,,#NUM!
Miami,Gass,Lily Grass Green,$0.63,,2026-01-27 14:02:45,,,Lisianthus Purple,,,,,,,$3.25,,,,$3.25
Miami,Greenery,Agonis Brown,$1.85,$1.95,2026-02-09 8:48:02,,,Lisianthus White,,,,,#NUM!,,$2.85,,,$2.65,$2.75
Miami,Greenery,Bear Grass Standard Green,$0.65,$0.63,2026-02-11 11:49:46,,,Mini Carnation White,,,,,,,$0.59,,,,$0.59
Miami,Greenery,Cedar Port Orford Green,$1.24,,2025-12-02 13:15:01,,,Mixed Xmas Greens Evergreen,,,,,,,$1.25,,,,$1.25
Miami,Greenery,Cypress Carolina Sapphire Green,$1.15,,2025-12-23 9:13:09,,,Moss Sheet Green,,,,,,,$4.95,,,,$4.95
Miami,Greenery,Dusty Miller Silver,$1.35,$1.15,2026-02-16 11:25:25,,,Nagi Foliage Green,,,,,,,$1.02,,,,$1.02
Miami,Greenery,Eucalyptus Seeded Green,$0.92,$1.05,2025-12-02 13:13:53,,,Orlaya White,,$1.50,,,,,$1.35,,,,$1.43
Miami,Greenery,Eucalyptus Silver Dollar,$0.92,,2025-12-08 11:01:32,,,Palm Leaf Areca Green,,,,,,,#NUM!,,,,#NUM!
